"lottery_id","lottery_name","development_type","reporting_construction_type","unit_count","hpd_building_id","hc_building_id","house_number","street_name","borough","unit_distribution_studio","unit_distribution_1bed","unit_distribution_2bed","unit_distribution_3bed","unit_distribution_4bed","applied_income_ami_ext_low","applied_income_ami_very_low","applied_income_ami_low","applied_income_ami_moderate","applied_income_ami_middle","applied_income_ami_above","address_zipcode","address_latitude","address_longitude","address_communitydistrict","address_citycouncildistrict","address_buildingidentificationnumber","address_bbl","address_censustrack2020","address_nta2020"
"7553","173 Tompkins Avenue Apartments","Rental","Preservation","3","0","8050","173","Tompkins Ave","BK",,"1","2",,,,,,,"3",,"11206","40.693325","-73.945887","303","36","3000000","3017720008","261","BK0301"
"2779","Amanda's Cove Waiting List","Rental","New Construction","2","877025","4329","3628","EASTCHESTER ROAD","BX",,,,"2",,,,,"2",,,"10469","40.881569","-73.848795","212","12","2114600","2049010017","386","BX1202"
"2779","Amanda's Cove Waiting List","Rental","New Construction","1","947260","4339","4187","LACONIA AVENUE","BX",,,,"1",,,,"1",,,,"10466","40.889442","-73.846083","212","12","2065375","2048790071","424","BX1203"
"7583","1938 Prospect Avenue Apartments","Rental","Preservation","3","0","8086","1938","Prospect Ave","BX","2","1",,,,,,"3",,,,"10457","40.843952","-73.889375","206","15","2000000","2029560004","36502","BX0602"
"4107","5920 Bay Parkway Apartments","Rental","New Construction","14","0","6368","5920","Bay Pkwy","BK","3","4","7",,,,,"2","3","9",,"11204","40.617124","-73.978035","312","44","3000000","3055157502","246","BK1204"
"7529","163 Willoughby Street Apartments","Rental","New Construction","20","0","8014","163","Willoughby St","BK","5","5","10",,,,,"20",,,,"11201","40.692041","-73.982013","302","35",,,"1502","BK0202"
"4257","The Metropolitan Senior Apartments","Rental","New Construction","13","998853","6457","132-77","Metropolitan Ave","QN","2","8","3",,,,,"13",,,,"11418","40.70284","-73.818461","409","29","4619099","4092850090","21602","QN0901"
"7533","1143 Hoe Avenue Apartments","Rental","Preservation","10","0","8022","1143","Hoe Ave","BX","1","5","3","1",,,,"10",,,,"10459","40.827293","-73.890909","203","17","2000000","2027450044","125","BX0303"
"7574","2351 Lorillard Place Apartments","Rental","Preservation","18","1020292","8066","2351","Lorillard Pl","BX",,"2","5","11",,,"5","11","2",,,"10458","40.855368","-73.890166","206","15","2011695","2030550033","387","BX0603"
"2733","45-07 48th Avenue Apartments Units Still Available","Rental","New Construction","2","988857","4360","45-07","48 AVENUE","QN",,"1","1",,,,,,,"2",,"11377","40.739406","-73.920214","402","26","4623240","4001707501","18502","QN0202"
"4718","943-947 Teller Avenue - Waiting List","Owner","Preservation","9","112880","6518","943","TELLER AVENUE","BX",,"4","1","2","2",,,,"9",,,"10451","40.826292","-73.915467","204","16","2001965","2024220030","173","BX0401"
